dishName,cuisine,dishId
chicken vindaloo,west indian|goa,208
chicken vindaloo,west indian|goa,360
pav bhaji,west indian|maharashtra,211
pav bhaji,west indian|maharashtra,1185
pav bhaji,west indian|maharashtra,1187
pav bhaji,west indian|maharashtra,211
pav bhaji,west indian|maharashtra,1185
pav bhaji,west indian|maharashtra,1187
peanut rice,south indian|tamil nadu,219
curried pork chops and cauliflower with basmati rice,north indian,220
pulao,north indian,206
sweet lamb curry,north indian|kashmir,239
quinoa biryani,north indian|punjab,247
kedgeree,north indian,252
black pepper goat curry,north indian|kashmir,258
kale and spinach saag,north indian|punjab,259
pot roast,american,261
masala beef with ginger and curry leaf,north indian,265
turmeric milk,north indian,267
vendakka paalu,south indian|kerala,275
ras malai,east indian|bengal,277
paneer butter masala,north indian|punjab,279
biriyani,north indian,284
lamb shank vindaloo,west indian|goa,299
paneer makhani,north indian|punjab,304
paneer makhani,north indian|punjab,731
lamb korma,north indian|uttar pradesh,312
paneer jalfrazie,east indian|bengal,320
vegetable koftas,north indian,334
chaat - dahi batata puri,west indian|maharashtra,338
sambar,south indian,340
sambar,south indian,614
prawn biryani,north indian,342
moong dal with spinach,north indian,345
sooji upma,south indian,346
sooji upma,south indian,1311
sooji upma,south indian|karnataka,346
sooji upma,south indian|karnataka,1311
kheema malai kofta,north indian,347
bhuna gosht,north indian|kashmir,352
akki rotti,south indian|karnataka,357
curried mango chicken,north indian,77
cucumber peanut salad,west indian|maharashtra,146
beef and spinach curry,north indian|kashmir,151
garam masala,north indian,49
garam masala,north indian,210
garam masala,north indian,470
cilantro garlic chicken,north indian,250
curry sauce,north indian,155
curry sauce,north indian,288
curry sauce,north indian,657
mango coconut sauce,south indian|kerala,313
cauliflower fritters,indian chinese,339
saffron rice with raisins and cashews,north indian,341
cilantro chutney,north indian,343
tandoori masala spice mix,north indian|punjab,351
curried lamb,north indian|kashmir,237
curried stew with lamb,north indian|kashmir,262
lamb curry,north indian|kashmir,249
spinach and buttermilk soup,east indian,271
kebab massalam,middle east,326
sweet curry pumpkin seeds,cambodian,701
spinach & green pea patties,middle east,702
lentil salad,north indian,703
coconut chicken tikka masala,north indian|punjab,705
butter chicken chickpeas,north indian|punjab,706
zucchini & parsnip moghlai,mughlai,711
almond burfi,south indian,713
coconut and molasses-filled rice dumplings,south indian|kerala,714
holige,south indian,715
madras crab curry,south indian,717
peanut chaat,north indian,718
carrot and ginger chutney,south indian,720
spicy goat curried rice pilaf,north indian,722
yellow tarka dal,north indian,734
paneer tikka sandwich,north indian,735
mangalore mutton curry,south indian|mangalore,737
pasta alfredo,italian,738
pasta alfredo,italian,739
aloo beans,south indian,741
aloo beans,south indian,742
aloo beans,south indian,743
aloo bhindi masala,north indian,744
aloo bhindi masala,north indian,745
aloo methi,north indian,747
aloo methi,north indian,748
aloo methi paratha,north indian,749
appam,south indian|kerala,753
