290,curried beef with vegetables
291,burger
292,chicken curry
293,chicken fry
294,chai tea
295,spicy swordfish
296,pork vindaloo
297,seitan makhani
298,chicken curry
299,lamb shank vindaloo
300,fettuccine
301,halibut
302,curried hash browns
303,baked chicken curry
304,paneer makhani
305,sabji
306,spicy dry fried curry chicken
307,chocolate chai
308,mulligatawny soup
309,matar paneer
310,chickpea salad
311,vegetable curry
312,lamb korma
313,mango coconut sauce
314,spicy chicken in tomato-coconut sauce
315,egg salad
316,carrot-bean sprouts salad
317,grilled chicken
318,spicy mango-mint lassi
319,spicy shrimp
320,paneer jalfrazie
321,bangaladumpa upma koora
322,spicy tomato soup
323,prawns in cashew coconut curry
324,lentil kootu
325,"chicken with tomato, peas, and cilantro"
326,kebab massalam
327,spinach and tomato dal
328,meat samosa
329,prawns
330,"pumpkin, butter bean, and spinach curry"
331,garlic spicy chicken
332,mango smoothie
333,dosa
334,vegetable koftas
335,pumpkin soup
336,yogurt samosa
337,carrot soup
338,chaat - dahi batata puri
339,cauliflower fritters
340,sambar
341,saffron rice with raisins and cashews
342,prawn biryani
343,cilantro chutney
344,banana curry
345,moong dal with spinach
346,sooji upma
347,kheema malai kofta
348,rose ice cream
349,spicy himalayan tea
350,chicken curry
351,tandoori masala spice mix
352,bhuna gosht
353,potato curry
354,spicy potatoes
355,mango lassi
356,vegetable soup
357,akki rotti
358,butter chicken
359,"grilled lamb chops with curry, apple and raisin sauce"
360,chicken vindaloo
361,tandoori chicken
362,okra fry
363,phulourie
364,tangy rice
365,aloo baigan
366,charred eggplant raita
367,omlete
368,cornish hens
369,lassi
370,potato cutlets
371,mustard fish
372,gobi masala cauliflower curry
373,curried chicken with rice
374,coconut chutney
375,fish in ginger-tamarind sauce
376,minty cucumber raita
377,sarson ka saag
378,spiced chickpeas
379,mulligatawny
380,palak paneer
381,chutney
382,matar paneer
383,lentils and spinach
384,egg curry
385,cauliflower curry
386,banana lassi
387,wheat chapati
388,chicken and onions
389,chana masala
390,carrot salad
391,frizzled onions
392,beet and yogurt salad
393,chickpea coconut salad
394,chicken sandwiches with chutney
395,sweet corn subji with paneer and cashew nuts
396,cabbage koora
397,aloo palak
398,potato stir-fry
399,chicken with apples
400,lemon lentil rice
401,grilled chicken salad
402,tandoori chicken salad
403,potatoes in spicy peanut and sesame paste
404,bombay potatoes
405,mediterranean yellow rice and vegetables
406,chicken karhaai
407,mushroom curry
408,grilled italian burgers
409,besan ladoo
410,matar pulao with nuts
411,masala tea
412,spicy onions
413,tomato soup
414,tangy chicken with pistachios and fruit
415,"cabbage, tomato and onion salad"
416,curd rice
417,chicken roti
418,curd rice
419,vegetable rice
420,kiwi raita
421,masala coffee
422,prawn malai curry
423,chicken salad with mango chutney
424,chicken rub
425,potato curry
426,tandoori chicken skewers
427,quinoa pilau
428,palak paneer
429,paneer tikka masala
430,chai tea
431,masala hash browns
432,chicken biryani
433,masoor dal
434,zucchini onion pepper latkes
435,daal makhani
436,tampa coconut cilantro rice
437,spicy chicken
438,spicy chicken
439,egg curry
440,samosa
441,cauliflower and potato stir-fry
442,spicy potato noodles
443,couscous with broccoli and edamame
444,cucumber carrot salad
445,besan laddu
446,beetroot aloo koora
447,kashmiri garam masala
448,malai kulfi
449,tomato onion koora
450,tamarind-date chutney
451,sago sabudana khichdi
452,smoky eggplant and yogurt salad
453,sweet and sour chutney
454,egg halwa
455,tomato and peach chutney
456,"tandoori grilled sausage, chicken and lamb"
457,peach-curry soup
458,matar keema
459,potatoes with fresh ginger and chilies
460,muscat gosht
461,tomato rasam
462,broiled chicken breasts with chutney-lime glaze and broccoli slaw
463,sweet lentil soup with asparagus tips
464,sundal
465,rasgullas
466,chettinad-style chicken
467,ada (adai)
468,vegetable shepherd's pie with baked beans
469,lamb curry pie
470,garam masala
471,curried green bean salad
472,palak paneer
473,cauliflower and potato casserole
474,mulligatawny
475,zucchini soup with curry spices
476,egg bhurji
477,tamarind fish curry
478,chicken with rice
479,chickpea curry
480,shalgam masala
481,butter chicken
482,dal makhani
483,spicy lentil quinoa curry
484,palak paneer
485,butternut squash coconut curry
486,tomato cucumber kachumbar
487,khitchari
488,cauliflower rice
489,tandoori lamb
490,kheema matar
491,chicken biryani
492,yogurt soup
493,chickpeas in tea
494,scrambled eggs
495,bhel puri
496,lamb meatballs over tandoori naan
497,cucumber raita with mint
498,tandoori chicken burgers
499,chai tea ice cream
500,lentil samosas
501,curry vinaigrette dressing
502,samosa
503,shrimp fry
504,apricot chutney
505,kheema pulao
506,pesarattu
507,hara masala murgh
508,khara pongal
509,pork chops with sweet tomato chutney
510,egg kulambu
511,rabri
512,anapakaya paala koora
513,kadhi
514,tomato bhath
515,methi murgh
516,butter chicken
517,prawn curry
518,vegetable pulao
519,mint chutney
520,shrikhand
521,potato chapati
522,tomato chutney
523,carrot soup
524,capsicum zunka
525,awadi dahi murg
526,eggless mango bread
527,kesari bhat
528,vegan yogurt sundae
529,rava laddu
530,bean sprouts soup
531,vegetable pancake
532,adipoli parathas
533,pudina chutney
534,doodhi chana
535,gasagage payasa
536,besan laddu
537,bengali 5-spice
538,poori aloo koora
539,vankaya pulusu pachadi
540,aviyal
541,ginger soup
542,pudina pacchadi
543,bengali fish curry
544,atta halwa
545,cilantro-mint raita
546,stuffed eggplant
547,crepe
548,corn on the cob in onion and yogurt sauce
549,curried scallops with angel hair pasta
550,mulligatawny
551,goat biryani
552,pizza
553,tofu curry
554,curried celery
555,veg biryani
556,onion dipping sauce
557,spicy sesame potatoes
558,brussels sprout pakora
559,raita with mint and cilantro
560,butter chicken
561,vegetable biryani
562,kheer
563,green curry with sweet potato and aubergine
564,chicken marinade
565,shami kebab
566,paratha
567,vegan japanese turnip curry
568,broccoli junka
569,baked gulab jamun
570,gulab jamun
571,kadai chicken
572,chicken cauliflower korma
573,goat curry
574,masala chai
575,watermelon chutney
576,tomato rice
577,chicken tikka masala
578,corn pakoda
579,kathal subzi
580,sweet potato dal
581,ven pongal
582,spicy egg & minced lamb roll
583,milk with turmeric paste
584,strawberry lassi
585,mango lassi
586,prawn pulao
587,masala cabbage soup
588,black chana with potato
589,cranberry thokku
590,palak rice
591,rajma
592,curried potato and spinach soup
593,shami kabab
594,samosa quesadillas with curried cabbage and chickpeas
595,chicken biryani
596,samosa
597,pumpkin curry
598,jeera rice
599,turkey curry
600,shahi tukray
601,cranberry chicken curry
602,paneer
603,rhubarb pineapple chutney
604,chocolate chai coffee
605,pork vindaloo
606,green apple and coconut chutney
607,hot garlic chutney
608,cranberry chutney
609,potato bhaji
610,pea salad
611,onion chutney
612,baked sweet potato samosas
613,mango chutney
614,sambar
615,chicken biryani
