dishId,tags
55,biryani|cardamom|chicken|chili|cinnamon|clove|cumin|dessert|garlic|ginger|oil|onion|potato|rice|saffron|salt|tomato|turmeric|yogurt|northindian
56,clove|coriander|cumin|dal|garlic|ginger|jalapeno|lentil|mustard|oil|olive|oliveoil|onion|salt|tomato
57,beverage|bouillon|broccoli|broth|cauliflower|cheddar|cheese|chicken|curry|flour|masala|milk|onion|salt|soup
58,almond|bean|bellpepper|beverage|carrot|cashew|chili|coriander|cream|curry|garlic|ginger|masala|milk|onion|paneer|peas|pista|potato|raisin|salt|tomato|turmeric
59,bayleaf|chili|curry|garlic|ginger|masala|oil|onion|peas|potato|salt|sugar|tomato|northindian|punjab
60,bayleaf|bouillon|broth|chicken|cinnamon|clove|curry|dessert|garlic|juice|lemon|masala|raisin|rice|salt|tomato
61,cucumber|juice|lemon|raita|salt|sugar|yogurt|northindian|punjab
62,beef|clove|garlic|keema|lamb|masala|onion|salt|tomato|punjab
63,chili|coriander|cumin|ginger|kebab|lamb|oil|onion|salt
64,chicken|chili|cinnamon|curry|ginger|masala|salt|tandoori|turmeric|northindian|punjab
65,beverage|bread|cardamom|dessert|kulfi|milk|northindian|rajasthan
66,carrot|chickpea|chutney|coconut|curry|garlic|kidneybean|mango|masala|onion|salt|soup|tomato|turkey
67,beef|chili|chilli|clove|coriander|cumin|garlic|ginger|keema|masala|oil|olive|oliveoil|onion|peas|potato|salt|tomato|turmeric|northindian|punjab
68,bellpepper|beverage|condiment|onion|sugar|vinegar|wine
69,bayleaf|beverage|cashew|chicken|coconut|coriander|cumin|milk|oil|raisin|rice|salt|turmeric
70,coriander|curry|garlic|ginger|masala|oil|onion|salt|shrimp|tomato|turmeric|westindian|goa
71,chili|coriander|cumin|curry|ghee|mustard|peas|potato|salt|turmeric|yogurt|southindian|karnataka
72,chana|chickpea|chili|clove|coriander|curry|dessert|garlic|ginger|masala|oil|olive|oliveoil|onion|salt|tomato|turmeric|northindian|punjab
73,almond|chicken|chutney|clove|curry|garlic|mango|masala|oil|olive|oliveoil|onion|salt|turmeric|yogurt|northindian|uttarpradesh
74,apricot|chicken|dessert|garlic|lime|masala|oil|olive|oliveoil|onion|salt|vinegar
75,cardamom|cod|coriander|cumin|curry|fillets|fish|garlic|ginger|jalapeno|juice|lemon|oil|onion|salt|tomato|turmeric|southindian|tamilnadu
76,beverage|coconut|curry|ginger|masala|milk|onion|rice|salt|southindian|kerala
77,chicken|chutney|clove|curry|dessert|garlic|mango|onion|tomato|northindian
78,bean|bellpepper|chickpea|clove|corn|cumin|curry|garlic|masala|oil|olive|oliveoil|onion|salt|tomato|turnip|northindian|punjab
79,cauliflower|chickpea|chili|clove|coriander|flour|garlic|masala|oil|onion|pakora|salt|snack|turmeric
80,chicken|chili|clove|curry|dessert|fenugreek|garlic|ginger|masala|onion|salt|tomato|yogurt|northindian|delhi
81,almond|barley|chicken|curry|masala|onion|raisin|rice|salt|turmeric
82,banana|beverage|bread|cheese|cream|flour|salt|sugar|tea|american
83,beverage|clove|coconut|cream|cumin|garlic|jalapeno|juice|lemon|masala|milk|mustard|oil|salt|shrimp|sugar|tomato
84,chicken|curry|masala|oil|olive|oliveoil|onion
85,cumin|curry|dessert|masala|oil|olive|oliveoil|potato|salt|turmeric|northindian|punjab
86,cumin|curry|garlic|ginger|jalapeno|keema|masala|oil|onion|salt|tofu|tomato|northindian|punjab
87,asafoetida|clove|cumin|dal|garlic|ginger|jalapeno|juice|lemon|oil|peas|salt|tomato|turmeric|northindian
88,bean|carrot|chili|cumin|curry|garlic|ginger|masala|mixedvegetables|mustard|oil|onion|potato|salt|tomato|turmeric|northindian
89,cauliflower|curry|garlic|masala|oil|onion|salt|tomato|turmeric
90,beverage|cardamom|carrot|chicken|cinnamon|clove|coconut|coriander|cumin|curry|garlic|ghee|ginger|juice|lemon|lentil|milk|oil|onion|potato|soup|tamarind|turmeric|southindian|tamilnadu
91,bellpepper|carrot|chili|coconut|cream|curry|flour|masala|onion|peas|potato|soup
92,cauliflower|chili|clove|coriander|cumin|curry|garlic|masala|oil|onion|salt|tomato|turmeric
93,beef|beverage|bouillon|broth|chicken|clove|coconut|cream|curry|garlic|ginger|masala|milk|oil|onion|salt|american
