1,0.961,0.7,2.63,4.03,2.47,1.134
2,3.876,3.87,0.19,3.6,0.35,7.972
3,0.0,1.99,2.261,9.57,0.13,0.125
4,4.672,0.7,0.196,2.25,1.32,6.282
5,0.813,0.0,2.646,4.84,1.72,5.683
6,3.868,0.91,3.315,0.78,1.41,1.799
7,1.18,6.28,0.086,0.17,0.51,0.077
8,4.834,2.03,3.601,4.57,0.9,6.561
9,0.0,0.0,0.0,0.0,0.0,0
10,3.272,4.61,0.585,0.39,0.55,7.31
11,0.0,3.01,1.741,0.04,0.54,0.527
12,3.972,5.03,0.288,1.39,0.77,1.885
13,0.939,4.35,2.752,2.31,0.28,3.956
14,3.305,4.61,0.585,0.39,0.55,4.643
15,2.056,2.24,1.455,2.9,0.7,4.742
16,2.095,3.29,2.146,2.88,0.96,5.558
17,2.441,0.56,1.706,0.46,1.44,3.583
18,1.356,3.78,3.207,2.97,0.7,4.806
19,1.628,3.85,1.037,1.19,0.36,6.561
20,3.492,2.24,1.455,2.9,0.7,7.409
21,0.0,0.0,0.0,0.0,0.0,0
22,0.884,4.67,0.387,2.04,0.59,5.642
23,1.977,3.78,3.207,5.42,0.7,1.677
24,1.48,0.67,1.985,8.07,1.04,3.464
25,2.149,2.3,3.116,2.64,0.27,6.011
26,5.597,3.9,1.158,2.58,0.66,2.803
27,4.195,3.9,1.158,2.58,0.66,2.103
28,2.298,3.24,1.675,2.45,0.09,5.185
29,3.563,4.16,1.679,0.27,0.34,5.956
30,1.26,3.71,1.285,2.98,0.7,4.632
31,0.0,3.56,0.318,1.29,3.95,0.165
32,3.904,2.25,1.184,4.49,1.12,3.887
33,2.77,0.0,0.0,0.0,0.0,0.466
34,3.64,4.61,0.585,0.39,0.55,10
35,4.952,4.61,0.922,0.36,0.13,2.472
36,0.0,2.24,1.455,0.45,0.7,4.349
37,2.292,4.38,9.917,6.61,0.66,0.316
38,0.736,4.6,0.474,1.17,1.54,1.134
39,4.016,0.67,1.985,8.07,1.04,3.464
40,1.027,2.24,1.455,0.45,0.7,5.636
41,4.402,4.09,2.488,0.34,0.99,3.702
42,3.657,2.16,3.523,2.98,0.54,6.368
43,1.93,4.08,2.133,0.31,1.26,3.613
44,0.0,2.97,1.227,3.12,1.44,0.146
45,9.537,4.61,0.585,5.29,0.55,10
46,4.906,2.16,3.523,2.98,0.54,6.562
47,0.769,3.4,0.35,0.12,1.89,0.224
48,2.119,2.82,6.986,4.01,0.83,6.105
49,2.44,5.25,0.822,2.32,0.47,0.144
50,1.375,4.46,0.617,0.32,0.59,8.181
51,2.015,1.02,1.205,2.84,0.62,0.419
52,2.303,3.29,2.146,5.33,0.96,4.932
53,0.0,3.01,1.741,0.04,0.54,0.325
54,0.988,0.78,2.147,0.12,0.36,0.128
55,5.746,2.99,1.033,1.11,0.11,8.567
56,3.876,4.57,0.599,0.35,1.31,6.194
57,1.126,5.21,1.505,2.44,1.1,3.023
58,2.803,1.12,1.716,6.06,0.46,3.985
59,0.807,1.32,1.135,2.1,0.56,3.84
60,1.161,1.61,1.854,2.98,1.28,7.603
61,0.516,4.19,3.158,3.52,2.78,0.254
62,0.148,4.11,1.205,5.88,0.25,4.877
63,2.235,4.96,2.466,0.24,0.48,0.604
64,2.265,3.9,1.158,0.13,0.66,1.513
65,0.0,3.93,0.431,0.12,3.96,0.188
66,0.214,6.15,0.627,0.57,0.32,3.574
67,3.876,3.87,0.19,3.6,0.35,7.972
68,0.0,0.04,2.079,2.55,2.95,0.243
69,2.756,2.56,0.948,0.08,0.29,0.994
70,3.526,4.09,2.488,0.34,0.99,3.702
71,3.497,3.7,1.108,0.81,0.37,0.57
72,3.055,0.64,1.63,1.21,0.57,3.479
73,1.565,4.16,1.679,0.27,0.34,1.892
74,0.604,2.26,1.051,7.67,2.18,2.842
75,3.492,1.36,1.741,4.31,1.24,6.511
76,0.439,5.49,1.112,0.12,0.04,0.335
77,0.296,4.6,0.474,1.17,1.54,7.057
78,1.425,1.58,1.133,0.6,0.3,3.929
79,2.248,0.99,1.904,2.58,0.71,0.764
80,1.48,3.78,3.207,0.52,0.7,4.74
81,0.961,2.59,1.157,0.17,0.71,1.242
82,0.0,3.68,0.687,0.28,2.54,0.764
83,2.856,4.64,1.608,2.84,0.51,3.939
84,0.604,2.24,1.455,0.45,0.7,1.614
85,2.237,0.98,1.61,0.73,0.2,0.507
86,1.628,2.02,0.69,0.37,0.4,6.354
87,3.425,0.77,0.748,4.38,0.55,6.036
88,3.615,3.53,2.283,1.08,0.7,6.663
89,1.889,3.03,2.456,1.58,0.76,6.035
